iter	RMSE
0	1.095259256
1	1.077199626
2	1.058938522
3	1.041166159
4	1.02300174
5	1.005980082
6	0.9908222888
7	0.9737926807
8	0.9603180035
9	0.9446578998
10	0.9294271428
11	0.914204184
12	0.900747974
13	0.8869113866
14	0.8723069908
15	0.859443524
16	0.8471004982
17	0.8344513408
18	0.8217984588
19	0.8081540416
20	0.7959426091
21	0.7861913151
22	0.7765684808
23	0.7658485062
24	0.7541594335
25	0.74281971
26	0.7335530079
27	0.7236941092
28	0.7141988401
29	0.7055151582
30	0.6965194654
31	0.6885465244
32	0.6803379848
33	0.6724694162
34	0.6637642963
35	0.6559864503
36	0.6473471006
37	0.6402198321
38	0.6338161083
39	0.6268583154
40	0.6198062932
41	0.6125809513
42	0.6062856753
43	0.5996230023
44	0.5924993443
45	0.5869180879
46	0.5808583558
47	0.5754434696
48	0.5690789446
49	0.562977104
50	0.5571275832
51	0.551273326
52	0.5460840061
53	0.5407135945
54	0.5360105885
55	0.5316869651
56	0.5277777861
57	0.5229696154
58	0.518365877
59	0.5142308944
60	0.5106454288
61	0.5063109192
62	0.5033051107
63	0.5000698276
64	0.4960616893
65	0.4921463819
66	0.4888252607
67	0.4844113745
68	0.4806093035
69	0.4774133436
70	0.4747220886
71	0.4719908053
72	0.4692509899
73	0.4659262798
74	0.4631988506
75	0.4603003639
76	0.4579621288
77	0.455015125
78	0.4521698074
79	0.4489352451
80	0.4463453932
81	0.4434530473
82	0.4406804628
83	0.4383915052
84	0.4359195553
85	0.4335506798
86	0.431520697
87	0.4291501251
88	0.4273430326
89	0.4254806329
90	0.4233988728
91	0.4214878846
92	0.4194216393
93	0.4175935632
94	0.4160123222
95	0.4137982516
96	0.4118168366
97	0.4100356904
98	0.4083863867
99	0.4063667541
100	0.4046815639
101	0.4024846875
102	0.4008843319
103	0.3987545784
104	0.3971449605
105	0.3951830848
106	0.3938546631
107	0.3927329022
108	0.3910997045
109	0.3893521272
110	0.3878619045
111	0.386107654
112	0.3844564056
113	0.382611012
114	0.3812140419
115	0.3799684791
116	0.3783409366
117	0.3768045206
118	0.3751438328
119	0.3741944004
120	0.3730045429
121	0.3717715206
122	0.3709581623
123	0.3698421402
124	0.3685962896
125	0.3669524276
126	0.3655429607
127	0.3637528857
128	0.3623078061
129	0.3611135561
130	0.3599036469
131	0.3588303587
132	0.3574833232
133	0.3568881605
134	0.3557814529
135	0.354569488
136	0.3527953252
137	0.3517718669
138	0.3506984885
139	0.3485694657
140	0.3476239698
141	0.3463936233
142	0.3447879959
143	0.3441702859
144	0.3429483937
145	0.3413256973
146	0.3392649565
147	0.3383548297
148	0.3369285676
149	0.3361591776
150	0.3351101388
151	0.3339234628
152	0.3330231126
153	0.3316412643
154	0.330428577
155	0.328814721
156	0.3276003919
157	0.326791887
158	0.3255958171
159	0.3244578397
160	0.3234883671
161	0.3221284931
162	0.3215075363
163	0.3204718955
164	0.3189911785
165	0.3178325808
166	0.3172183799
167	0.3155530006
168	0.3143264555
169	0.3128082192
170	0.31166337
171	0.310420936
172	0.3095933821
173	0.3084296793
174	0.3075603886
175	0.3067539181
176	0.3058585763
177	0.3046061812
178	0.3039249289
179	0.3031767175
180	0.3023336403
181	0.301878258
182	0.301245006
183	0.3000079511
184	0.2987759474
185	0.2975627465
186	0.2965689802
187	0.2956481726
188	0.2948697942
189	0.2937873514
190	0.2930455877
191	0.2919313263
192	0.2908564612
193	0.2899541402
194	0.2890256722
195	0.2884925571
196	0.2882198684
197	0.2872389174
198	0.2867191179
199	0.2855885051
200	0.2845352077
201	0.2835581718
202	0.2823492002
203	0.2819177491
204	0.2811090642
205	0.2805725725
206	0.2796775395
207	0.2791909133
208	0.2788114801
209	0.2776770532
210	0.2761898724
211	0.2752903467
